#CRTS ID,RA (J2000),Dec (J2000),UT Date,Mag,CSS images,SDSS,Others,Followed,Last,LC,FC,Classification
CSS100317:151949+023120,229.95603,2.5221,20100317.49,18.52,1003171010824148041,yes,14804,no,2016-07-07,14804,yes,"SN (spec) SDSS mag 21,0 gal"
CSS160708:151956+052419,229.98302,5.40528,20160708.2,17.37,1607081040824147654,yes,14765,no,2016-07-08,14765,yes,"SN SDSS mag 22,5"
CSS100326:151957+221953,229.98888,22.3315,20100326.46,19.17,1003261210784136534,yes,13653,yes,2016-07-10,13653,yes,"SN SDSS mag 15,6"
CSS130610:152008+404758,230.03157,40.79958,20130610.35,18.9,1306101400644123218,yes,12321,no,2016-07-12,12321,yes,"AGN mag 20,5"
CSS120919:152032+290030,230.13136,29.00847,20120919.14,17.66,1209191290734112890,yes,11289,no,2016-07-11,11289,yes,"SN SDSS mag 20,6"
CSS110301:152038+040948,230.15777,4.16326,20110301.51,16.37,1103011040824130139,yes,13013,yes,2016-07-07,13013,yes,"CV outbursts DSS/PQ/SDSS SDSS mag 20,6"
CSS150325:152049+050038,230.20292,5.01044,20150325.43,18.69,1503251040824135639,yes,13563,no,2016-07-07,13563,yes,"SN SDSS mag 21,6"
CSS110508:152100+155803,230.25122,15.96754,20110508.36,19.81,1105081150804135655,yes,13565,no,2016-09-05,13565,yes,"AGN SDSS mag 20,3"
CSS130331:152123+554519,230.34627,55.75531,20130331.41,18.16,1303311550494131001,yes,13100,yes,2016-07-12,13100,yes,"Blazar SDSS mag 19,4"
CSS140328:152144+203002,230.43192,20.50043,20140328.37,19.45,1403281210784113098,yes,11309,no,2016-07-10,11309,yes,"AGN SDSS mag 21,0"
CSS160208:152149+404928,230.45421,40.82445,20160208.51,17.63,1602081400644119204,yes,11920,no,2016-07-12,11920,yes,"Flare SDSS mag 21,2"
CSS110406:152159+261223,230.49484,26.20644,20110406.44,16.21,1104061260754113690,yes,11369,no,2016-07-15,11369,yes,"CV SDSS mag 20,8"
CSS080427:152242+302208,230.67623,30.36888,20080427.39,19.32,804271290734130359,yes,30359,yes,2016-07-11,30359,no,"SN 2008ck SDSS 21,7 mag gal"
CSS120328:152302+071141,230.75707,7.19479,20120328.41,17.78,1203281070824134397,yes,13439,no,2016-07-07,13439,yes,"SN 2012bs SDSS mag 19,9"
CSS140326:152318+181734,230.8269,18.29273,20140326.44,17.58,1403261180794121958,yes,12195,no,2016-09-05,12195,yes,"SN (Master) SDSS mag 19,8"
CSS100409:152322+021901,230.84102,2.31694,20100409.36,18.11,1004091010834148007,yes,14800,yes,2016-06-02,14800,yes,"SN 2010cf SDSS mag 20,2"
CSS100618:152341+185125,230.92199,18.8569,20100618.26,19.61,1006181180794136057,yes,13605,yes,2016-09-05,13605,yes,"SN SDSS mag 21,9"
CSS140625:152351+172739,230.96133,17.46079,20140625.33,12.77,1406251180794109133,yes,10913,no,2016-09-05,10913,yes,HPM LHS_396
CSS120617:152351+083606,230.96351,8.60175,20120617.33,17.34,1206171090824101743,yes,10174,no,2016-07-07,10174,yes,"CV SDSS mag 19,7"
CSS100704:152354+275744,230.97681,27.96231,20100704.23,19.62,1007041260754143937,yes,14393,yes,2016-07-15,14393,yes,"AGN SDSS mag 21,3"
