Dec (J2000),SDSS,count,mag_info,mag_max,mag_mean,mag_median,mag_min,mag_std,magerr_max,magerr_mean,magerr_std,mjd_std,baseline,mag_baseline
34.67524,1,282,18.04,20.5918,18.686866666666667,18.73665,17.4718,0.4593880273449102,0.509946061867484,0.1571238244302477,0.0456099832642865,834.8156293808308,2936.027747036911,3.119999999999997
-19.10026,0,12,18.49,19.3952,18.612983333333336,18.5954,17.826,0.4464539227641703,0.204589895744117,0.1349194343540714,0.0286207413082763,230.4454514217467,812.8437243054941,1.5691999999999986
16.77635,1,65,13.69,17.503,15.550810769230768,15.5591,12.6931,1.175352422962347,0.171759639715156,0.0720723654032314,0.0231288846196049,272.262733674439,1642.628202256907,4.809900000000001
28.26692,1,17,15.57,18.6873,16.590423529411765,16.625,15.3299,0.9207357672871004,0.150315372638126,0.0814436153874233,0.0213410391119365,335.81886236060444,1406.102259618303,3.3574
-1.96703,0,147,15.72,17.111,16.38444693877551,16.3696,16.1099,0.1007763272010164,0.126656878617432,0.0757002374604682,0.0061830752889827,937.9432846895688,3045.7027482754056,1.001100000000001
31.58685,1,4,18.42,20.4572,19.0614,18.6852,18.418,0.9393968987245668,0.343707359840627,0.1895444832779345,0.1030411525234425,12.484141676911731,24.979801099696488,2.039200000000001
13.16773,1,191,18.97,21.247,20.26923769633508,20.2804,19.3541,0.3954224435806545,0.55327541883481,0.320984529724904,0.0714881319338269,859.431985774634,3130.252597395811,1.892900000000001
40.25676,1,4,19.7,21.3474,21.011225,21.22265,20.2522,0.5140350466326858,0.559263960232993,0.4867051558930362,0.1206602364555713,616.4580042882517,1418.1682497108995,1.095200000000002
15.54176,0,345,18.59,20.699,19.5813431884058,19.5667,18.761,0.3257802382335761,0.522311019024571,0.2444035581063066,0.054837826949039,870.4968299656811,2975.876645243203,1.9380000000000024
11.71745,0,75,19.17,21.1269,20.017154666666663,20.0058,18.886,0.4466287430666923,0.5561056669849089,0.3015145529160539,0.0796077135388782,653.2954088537075,2206.9181368979043,2.2409
60.78612,1,104,18.79,20.9979,19.63687596153846,19.58895,18.5502,0.4771437363569788,0.51591242197914,0.2401741969543259,0.0705997781132594,729.1989920100967,2633.0637974882998,2.447700000000001
58.80669,1,17,17.49,20.889,17.433723529411765,17.4826,15.432,1.90903752861534,0.448177728611437,0.1472006581558764,0.1210148063817261,677.2228112019129,1874.991589027697,5.456999999999999
-3.10567,1,72,16.21,21.2212,19.65330833333333,19.85965,16.2101,1.081916002799049,0.550206130910405,0.2571791148804043,0.1064634525540077,975.8993672454222,2929.020138321903,5.011099999999999
0.51329,1,107,17.57,21.144,19.63303177570093,19.8376,17.0648,0.8420840239075921,0.530931106149733,0.2594146732036343,0.0928272159121804,877.144766498028,2964.8308137036,4.079199999999997
29.2941,1,5,19.11,21.4608,20.50938,20.4343,19.6287,0.7292479530310656,0.587359882133207,0.3860524893885432,0.1463850666157336,1205.6901742654063,2631.8644368057,1.8321000000000005
17.26207,1,12,19.0,21.3845,20.713125,20.6499,19.9271,0.4721124829856856,0.5876897159735761,0.4217768585763044,0.10188322080163,928.9621269758676,2923.9805126153005,1.4573999999999998
23.94911,0,5,19.98,20.3113,19.67448,19.9787,18.9686,0.6221935044662562,0.3628445802648921,0.2665251669535226,0.085919960666132,585.2574309362957,1102.9780809492004,1.342700000000001
18.90505,1,360,15.8,20.9802,18.67380361111111,18.75795,14.8162,0.7816945054480353,0.805650616226963,0.165802867977709,0.064891743443265,938.5562373704752,3106.7019387385008,6.164
9.6898,0,253,18.96,21.1002,19.63884505928854,19.5695,18.3771,0.506151189637177,0.509720267004283,0.2532259336111567,0.0733548108394032,702.7683135329913,2865.1736055207075,2.7231000000000023
53.78465,0,55,18.96,21.1343,19.37279090909091,19.2766,18.0173,0.7447717137865576,0.5681264142169511,0.2296766716801315,0.1019109238953718,784.4294868365098,3086.712712720102,3.117000000000001
-16.41756,0,23,17.13,21.1673,19.70396086956522,19.9134,17.1257,1.2718215972444378,0.551038700336465,0.2944883360219953,0.1416031102228893,992.3118609941388,2926.029870092403,4.0416000000000025
2.74598,1,28,18.84,21.277,20.11460357142857,20.2909,18.7185,0.8663331886119076,0.567223301936036,0.3320708118764097,0.1426260167606219,685.2784839679146,2928.9729864582987,2.558500000000002
-6.17312,0,5,16.67,19.6063,18.89132,19.1184,18.2812,0.5738597014950594,0.224293387628857,0.1758422323915508,0.0335890678309272,740.1856427501266,1844.8156942595012,1.3251000000000026
3.67533,1,88,14.39,14.4482,14.393538636363637,14.3959,14.3548,0.0151284191105939,0.0614720449575161,0.0552419376369348,0.000796153475067,178.72816738286983,516.7656831940985,0.0934000000000008
29.28199,1,263,18.9,20.1665,19.243043346007603,19.263,16.0091,0.3840771185575219,0.300983545778576,0.1937135250778106,0.0350480961860905,957.027020254229,2956.8937584375963,4.157399999999999
46.96929,1,63,15.09,16.5346,15.090736507936509,15.0669,15.0021,0.1870338836833408,0.0820508834336609,0.0592840257306001,0.0030299032898199,479.6610080081612,1419.11518811329,1.5325000000000006
11.63922,1,166,15.95,21.218000000000004,19.902556024096388,20.06425,14.9888,1.0927526345412426,0.536807520885934,0.2876100501359321,0.0919024469171659,781.6143267576724,2669.8399216318,6.229200000000004
-10.55561,0,246,17.91,19.6333,18.52269512195122,18.5404,17.705,0.3601123335744434,0.258483404817962,0.1412652610673806,0.0227781324166237,885.4268053838022,2965.010676470105,1.9283
36.42107,1,235,17.47,21.1574,19.654277872340423,19.864,16.354,1.0112301062561746,0.535515244849393,0.2608775703942446,0.0893122615416033,841.8403928346386,3061.726528726904,4.8034
29.46837,1,41,16.13,20.8471,17.692536585365854,16.6143,15.6828,1.839989005368792,0.546636823422438,0.1675909863305666,0.1305030710686032,674.0506457912151,2613.8413566895906,5.164300000000001
17.236,1,79,18.13,19.3715,18.226251898734176,18.1398,17.8335,0.3023998765689448,0.21479055127838,0.1216957631813421,0.0226772009323172,332.3031949303791,3090.3560184835005,1.5380000000000005
36.01952,1,3,18.46,21.0971,20.866200000000003,20.8092,20.6923,0.208332690665676,0.44040605919064,0.42820084438793,0.0190909760587018,1121.6359558629445,1946.7205743401937,0.4048000000000016
21.46207,1,41,18.47,21.2871,20.180741463414638,20.4297,17.8723,0.8417540914589033,0.6253063171846429,0.4033358544232446,0.1343654271870728,877.1472859093608,2928.026050173692,3.4148
22.36488,1,10,19.15,20.9509,19.31417,18.92765,18.6455,0.826402085414708,0.508595383194366,0.2313663187049122,0.1231640843780846,445.6092597534779,1880.0091521988943,2.3054000000000023
18.38646,1,343,17.27,20.0412,18.66940204081633,18.7895,16.9535,0.6524740779699417,0.4332824941220189,0.1562982577101173,0.0432319467184027,875.5611785950264,2945.9310825462017,3.0877000000000017
2.29163,1,21,16.51,20.3471,17.839771428571428,17.4282,16.5117,1.1351546366653569,0.376380038893348,0.1301296891507758,0.0760439085457605,339.06530695491296,1766.052979895794,3.8354
-8.64971,1,68,14.16,14.1916,14.167655882352944,14.17055,14.1272,0.0155206014496566,0.0561282445111599,0.0547209332048377,0.0004359661617614,184.93385230182068,464.7688681137006,0.0643999999999991
14.83818,1,150,17.86,20.6501,18.938274666666665,18.8957,17.8339,0.5449719374816505,0.471364682159042,0.1820330069951888,0.0592102937730043,772.2360872993927,2921.981045532506,2.8161999999999985
51.16551,1,71,18.91,21.2769,19.76567183098592,19.7852,17.0671,0.5944292679736961,0.551874642354795,0.2682451199217998,0.0785520727588394,692.7741305727403,2679.832861770905,4.209800000000001
37.53794,0,264,15.48,18.2582,17.74101628787879,17.832,15.0856,0.4769762016684173,0.142110491741686,0.1046719087485134,0.0117465058480212,939.5366005823544,2950.011403657496,3.172599999999999
28.62869,1,5,18.03,21.3783,20.27056,20.0975,18.9621,0.9530086557844052,0.596441586141003,0.3663267782563124,0.1836013987736149,720.8989257690403,1763.0205479743963,2.4162
10.70955,1,226,18.65,21.1073,19.320165486725664,19.3263,17.8023,0.4584811175600318,0.6854060504233879,0.2053707147949439,0.0628567329310651,940.5003378719928,2956.896534595202,3.305
55.48833,1,140,16.23,20.5142,19.08525285714285,19.07965,15.9061,0.6781340628946232,0.4759915372402129,0.198194034384626,0.0628632453212588,863.9592798008028,3067.7957386342096,4.608099999999999
14.93806,1,209,19.61,21.3927,19.973125358851675,19.8853,19.0368,0.4583537450002553,0.5880200319416989,0.2792451259397107,0.076903469649139,669.4596246532162,2994.8969827662004,2.355900000000002
15.40488,1,15,18.62,21.6286,19.930506666666663,19.8495,18.547,1.033543293354514,0.5687306058331589,0.3019055606650732,0.152088996151146,620.6083974628658,2303.836414687299,3.081599999999998
22.52104,1,5,19.5,20.2471,19.4798,19.5021,18.997,0.5053828152994528,0.313734276121227,0.2206917419228529,0.0578648640016685,329.13415694462526,735.9776722224997,1.2500999999999998
28.41749,1,90,20.16,21.431,20.280448888888888,20.27395,19.003,0.5684732660488396,0.8589046416440139,0.3569770255937886,0.1154504048413071,977.2483466906727,2990.930947291592,2.428000000000001
8.10885,1,93,16.69,16.7279,16.597413978494625,16.6083,16.4387,0.0618908586903939,0.0852631123565111,0.0745168954024091,0.0028898786073805,180.3054139358463,673.0768069560945,0.289200000000001
21.2426,1,130,19.19,21.3702,20.44479153846154,20.49015,19.1196,0.521018396770024,0.579270612122501,0.3558140377583909,0.0948417843583438,819.9469648966028,2894.913433981201,2.250600000000002
